## GROUP 01 — Говорение и дискурс / Mówienie i dyskusja
отговаривать,odradzać
уточнить/конкретизировать,sprecyzować


## GROUP 02 — Эмоции и характеристики / Emocje i charakterystyka
обращение/отношение,traktowanie
бесполезный,bezużyteczny
срочно/усердно,pilnie
втягивать/увлекать,wciągać
стройный/ладный,zgrabny
сожалеть/скорбеть,ubolewać
скрывать/прятать,ukrywać
питать чувства/одаривать,darzyć


## GROUP 03 — Семья и отношения / Rodzina i relacje
изменять/предавать (выдавать тайну),zdradzać


## GROUP 04 — Дом и предметы быта / Dom i przedmioty codzienne


## GROUP 05 — Тело и здоровье / Ciało i zdrowie
травма,kontuzja
фигура/силуэт,sylwetka
спасение/помощь,ratunek
спасать,ratować


## GROUP 06 — Еда и чувства / Jedzenie i zmysły
разведение/выращивание,hodowla
закуска,przekąska


## GROUP 07 — Работа и учреждения / Praca i instytucje


## GROUP 08 — Деньги и покупки / Pieniądze i zakupy


## GROUP 09 — Путешествия и транспорт / Podróże i transport
разместить/поселить,zakwaterować
пойти,pójść
груз/заряд,ładunek


## GROUP 10 — Технологии и медиа / Technologia i media
лозунг/пароль,hasło
размещённый/опубликованный,zamieszczony
зона покрытия/радиус действия,zasięg


## GROUP 11 — Культура и традиции / Kultura i tradycje
торжественный,uroczysty
торжество/празднество,uroczystość
нить/сюжетная линия/тема,wątek
сюжет/фабула,fabuła
фигура/персонаж,postać


## GROUP 12 — Спорт и соревнования / Sport i rywalizacja
развлечение,rozrywka
жеребьёвка/розыгрыш,losowanie
авангард/лидеры/заставка,czołówka
участвовать,uczestniczyć
игра/играть,gra (grać)


## GROUP 13 — Право и общество / Prawo i społeczeństwo
подкрадываться/подворовывать,podkradać się
насилие,przemoc


## GROUP 14 — Успех, ценности, решения / Sukces, wartości i decyzje
вынуждать/принуждать,zmuszać
запускать/пренебрегать,zaniedbywać
обмануть,oszukać
козырь/преимущество,atut
достижение/свершение,dokonanie
эффективный/действенный,skuteczny


## GROUP 15 — Время и последовательность / Czas i sekwencja
продлевать,przedłużać
останавливать/задерживать,zatrzymywać
пятиться/отодвигать назад,cofać
каникулы,ferie
отсутствие,nieobecność


## GROUP 16 — Грамматика и логика / Gramatyka i logika
действие/занятие,czynność
основанный (на),oparty
составлять/представлять собой,stanowić
охватывать/включать (обнимать),obejmować
отражать,odzwierciedlać
формировать,kształtować
доставать/тянуться/достигать,sięgać
предлог/повод,pretekst
получаться (выпадать),wypadać
единица/особь/подразделение,jednostka
вытаскивать/вытягивать,wyciągać
